commit_hash,package_name,raw_fetcher_count,direct_fetcher_count,fetcher_types,nixpkgs_target_bump
70f8fa6e126842d93425e7828fda35cff28463eb,drawy,1,1,fetchFromGitHub,6f374686605df381de8541c072038472a5ea2e2d
9fd7bd516cc47d6bf857d4977d9b6d837a5b172b,ocb,1,1,fetchFromGitHub,d7f52a7a640bc54c7bb414cca603835bf8dd4b10
5d3dca8f2eb235617820e2d4588c287a64453b59,ekey-bionyxpy,1,1,fetchFromGitHub,0ade817efdde79cbc46b624c849027335ebc25c5
9d5824e6a770a5846713226a8e84ab5fb5cf8997,hyprwire,1,1,fetchFromGitHub,8b6600824693a9c706ef09bd86711ca393703466
80323062f8e966ed6401a1e4deaeca85ab9a116d,hyprtoolkit,1,1,fetchFromGitHub,8b6600824693a9c706ef09bd86711ca393703466
bea5958c63ff1df0d34c7a804691299f7fcb181e,ptcpdump,1,1,fetchFromGitHub,8b6600824693a9c706ef09bd86711ca393703466
a5140ab27c95319aebaded41b1ebc7ed04530cda,elkoep-aio-mqtt,1,1,fetchFromGitHub,1d4c88323ac36805d09657d13a5273aea1b34f0c
9faec8f5cedbdec251314cd09d531f6820f4b519,pascube,1,1,fetchFromGitHub,832e3b6db48508ae436c2c7bfc0cf914eac6938e
9988c02d49afbad15082a58129075a8c47e4ae67,types-webencodings,1,1,fetchPypi,85a6c4a07faa12aaccd81b36ba9bfc2bec974fa1
9ee6854ce0b42e9d050b447dac5eb7bf7bef2de8,chatlas,1,1,fetchFromGitHub,85a6c4a07faa12aaccd81b36ba9bfc2bec974fa1
d2d197b954393044669872a031e8061f688b9a0d,pytest-gitconfig,1,1,fetchFromGitHub,1d4c88323ac36805d09657d13a5273aea1b34f0c
899d61fe3171696d154b6abedae59ad13af7ec9a,uncompresspy,1,1,fetchPypi,1d4c88323ac36805d09657d13a5273aea1b34f0c
63c81066c92412a7faad0a95ec3097a844387b8c,pycrdt-store,1,1,fetchFromGitHub,91c9a64ce2a84e648d0cf9671274bb9c2fb9ba60
d829874e1f5e806e648f8c02e51ef1ce03944463,reddix,1,1,fetchFromGitHub,91c9a64ce2a84e648d0cf9671274bb9c2fb9ba60
92ea220f1747c23729bcaf3c0def42094a0a4e8d,django-modelsearch,1,1,fetchFromGitHub,91c9a64ce2a84e648d0cf9671274bb9c2fb9ba60
0d3036c38f5f7cc191d4238f50145a554554745d,fava-dashboards,1,1,fetchFromGitHub,91c9a64ce2a84e648d0cf9671274bb9c2fb9ba60
c2247d3f04fe4da90a09244acc1df2f8b3dd6cfa,temporal_capi,1,1,fetchFromGitHub,91c9a64ce2a84e648d0cf9671274bb9c2fb9ba60
5fc0dd04b662fa951ca05160e01b1ea0ae07aaef,mangowc,1,1,fetchFromGitHub,91c9a64ce2a84e648d0cf9671274bb9c2fb9ba60
b2155863011ace4c0f3960509f98e45a34b67fde,lenspect,1,1,fetchFromGitHub,63bdb5d90fa2fa11c42f9716ad1e23565613b07c
