commit_hash,package_name,raw_fetcher_count,direct_fetcher_count,fetcher_types,nixpkgs_target_bump
1346c490888ba372371d001541009a3bdf632527,unified-memory-framework,2,2,"fetchFromGitHub,fetchpatch",2dad7af78a183b6c486702c18af8a9544f298377
787aa8b71fda9c4a0c854a182db3a523366e50c5,vdu_controls,2,2,"fetchFromGitHub,fetchpatch",f6b44b2401525650256b977063dbcf830f762369
265b498a9a5d300586722529d865a2aef9ae557b,pytest-aioresponses,2,2,"fetchPypi,fetchpatch",ffcdcf99d65c61956d882df249a9be53e5902ea5
c3793a77580f34e4594560d13706d7af0da2fa2f,rusty-path-of-building,2,2,"fetchurl,fetchFromGitHub",e99366c665bdd53b7b500ccdc5226675cfc51f45
9df2dc28d73c083ba79045af30809cd595b56db8,e-search,6,5,"fetchzip,fetchurl,fetchurl,fetchurl,fetchFromGitHub,fetchDeps",8b5c9dd8856f0c0cf46cc91f2c21c106a9d42e25
dd1d4c2bfada25430a078f154c9a6bd07bab8ad0,oscar64,3,3,"fetchFromGitHub,fetchpatch,fetchpatch",a1f79a1770d05af18111fbbe2a3ab2c42c0f6cd0
e938ba4da9c74458ed7734a886fd480526263636,hm,2,2,"fetchFromGitLab,fetchpatch",af745796c2755d6f3a6d835967862184d53a17ff
272467ba042794e808e9839097c0b723d7b66234,knowit,2,2,"fetchFromGitHub,fetchzip",ca77296380960cd497a765102eeb1356eb80fed0
90a49d004a4d94f505e72debf4ff13af45f57044,krename,2,2,"fetchurl,fetchFromGitLab",ca77296380960cd497a765102eeb1356eb80fed0
86666a4a999c38c84bb21e0822452c680d7eae74,radicle-desktop,3,2,"fetchFromRadicle,fetchNpmDeps,fetchFromGitHub",f937f8ecd1c70efd7e9f90ba13dfb400cf559de4
b8076a50d9f10b75eba71a980341e885c39813cf,draccus,2,2,"fetchPypi,fetchpatch2",ddd1826f294a0ee5fdc198ab72c8306a0ea73aa9
f04aaa33ece243f37d8eba6d9960adf726d5eb80,pyopenjtalk,2,2,"fetchzip,fetchFromGitHub",f937f8ecd1c70efd7e9f90ba13dfb400cf559de4
7860dd8e0e8163dc459a241c1a2d11f91090a39b,etcd_3_6,2,2,"fetchFromGitHub,fetchpatch",c3fc1fe6d8765d99c8614c6f82d611dc56b9ae37
12312b94c439ed3c97d950a6d69076b84eed1c31,github-to-sops,2,2,"fetchFromGitHub,fetchpatch2",695d5db1b8b20b73292501683a524e0bd79074fb
bc5fb869bb6d461d31d346e69c3c42fbe4d24375,sipsimple,4,4,"fetchurl,fetchFromGitHub,fetchFromGitHub,fetchpatch",6027c30c8e9810896b92429f0092f624f7b1aace
f715d610aef66278a0365ce548ef8ff1e78d1a97,python-dali,2,2,"fetchFromGitHub,fetchpatch",bf9fa86a9b1005d932f842edf2c38eeecc98eef3
