commit_hash,date,packages,fully_qualified_name,subject,test_base_commit,build_time
70f8fa6e126842d93425e7828fda35cff28463eb,2025-11-15,drawy,drawy,drawy: init at 1.0.0-alpha-unstable-2025-11-17,6f374686605df381de8541c072038472a5ea2e2d,3.42
9fd7bd516cc47d6bf857d4977d9b6d837a5b172b,2025-11-03,ocb,ocamlPackages.ocb,ocamlPackages.ocb: init at 0.2,d7f52a7a640bc54c7bb414cca603835bf8dd4b10,0.79
5d3dca8f2eb235617820e2d4588c287a64453b59,2025-11-17,ekey-bionyxpy,python3Packages.ekey-bionyxpy,python3Packages.ekey-bionyxpy: init at 1.0.0,0ade817efdde79cbc46b624c849027335ebc25c5,3.98
9d5824e6a770a5846713226a8e84ab5fb5cf8997,2025-10-18,hyprwire,hyprwire,hyprwire: init at 0.1.0,8b6600824693a9c706ef09bd86711ca393703466,0.89
80323062f8e966ed6401a1e4deaeca85ab9a116d,2025-10-18,hyprtoolkit,hyprtoolkit,hyprtoolkit: init at 0.1.0,8b6600824693a9c706ef09bd86711ca393703466,2.31
bea5958c63ff1df0d34c7a804691299f7fcb181e,2025-08-25,ptcpdump,ptcpdump,ptcpdump: init at 0.37.0,8b6600824693a9c706ef09bd86711ca393703466,1.59
a5140ab27c95319aebaded41b1ebc7ed04530cda,2025-11-15,elkoep-aio-mqtt,python3Packages.elkoep-aio-mqtt,python3Packages.elkoep-aio-mqtt: init at 0.1.0b4,1d4c88323ac36805d09657d13a5273aea1b34f0c,5.36
9faec8f5cedbdec251314cd09d531f6820f4b519,2025-10-12,pascube,pascube,pascube: init at 1.5.1,832e3b6db48508ae436c2c7bfc0cf914eac6938e,2.65
9988c02d49afbad15082a58129075a8c47e4ae67,2025-11-16,types-webencodings,python313Packages.types-webencodings,python313Packages.types-webencodings: init at 0.5.0.20251108,85a6c4a07faa12aaccd81b36ba9bfc2bec974fa1,0.92
9ee6854ce0b42e9d050b447dac5eb7bf7bef2de8,2025-11-16,chatlas,python3Packages.chatlas,python3Packages.chatlas: init at 0.13.2,85a6c4a07faa12aaccd81b36ba9bfc2bec974fa1,8.95
d2d197b954393044669872a031e8061f688b9a0d,2025-11-16,pytest-gitconfig,python313Packages.pytest-gitconfig,python313Packages.pytest-gitconfig: init at 0.8.0,1d4c88323ac36805d09657d13a5273aea1b34f0c,1.53
899d61fe3171696d154b6abedae59ad13af7ec9a,2025-11-15,uncompresspy,python3Packages.uncompresspy,python3Packages.uncompresspy: init at 0.4.1,1d4c88323ac36805d09657d13a5273aea1b34f0c,5.72
63c81066c92412a7faad0a95ec3097a844387b8c,2025-11-12,pycrdt-store,python3Packages.pycrdt-store,python3Packages.pycrdt-store: init at 0.1.3b1,91c9a64ce2a84e648d0cf9671274bb9c2fb9ba60,3.31
d829874e1f5e806e648f8c02e51ef1ce03944463,2025-11-09,reddix,reddix,reddix: init at 0.2.9,91c9a64ce2a84e648d0cf9671274bb9c2fb9ba60,1.36
92ea220f1747c23729bcaf3c0def42094a0a4e8d,2025-11-14,django-modelsearch,python3Packages.django-modelsearch,python3Packages.django-modelsearch: init at 1.1.1,91c9a64ce2a84e648d0cf9671274bb9c2fb9ba60,3.86
0d3036c38f5f7cc191d4238f50145a554554745d,2025-11-14,fava-dashboards,python3Packages.fava-dashboards,python3Packages.fava-dashboards: init at 1.2.0,91c9a64ce2a84e648d0cf9671274bb9c2fb9ba60,7.57
c2247d3f04fe4da90a09244acc1df2f8b3dd6cfa,2025-11-13,temporal_capi,temporal_capi,temporal_capi: init at 0.1.2,91c9a64ce2a84e648d0cf9671274bb9c2fb9ba60,1.34
5fc0dd04b662fa951ca05160e01b1ea0ae07aaef,2025-11-14,mangowc,mangowc,mangowc: init at 0.10.5,91c9a64ce2a84e648d0cf9671274bb9c2fb9ba60,2.58
b2155863011ace4c0f3960509f98e45a34b67fde,2025-10-19,lenspect,lenspect,lenspect: init at 1.0.2,63bdb5d90fa2fa11c42f9716ad1e23565613b07c,6.86
0c70fde0754f0346340f5c580d749a6023eb0190,2025-11-13,togrill-bluetooth,python3Packages.togrill-bluetooth,python3Packages.togrill-bluetooth: init at 0.8.0,91c9a64ce2a84e648d0cf9671274bb9c2fb9ba60,3.48
6b9a10f4b22ba7862d127ce26f7e26af4093e139,2025-11-13,pandoc-ext-diagram,pandoc-ext-diagram,pandoc-ext-diagram: init at 1.2.0,91c9a64ce2a84e648d0cf9671274bb9c2fb9ba60,0.66
8f266606a458f30cb09ac4fed3f97a954301323f,2025-11-13,xapp-symbolic-icons,xapp-symbolic-icons,xapp-symbolic-icons: init at 1.0.1,f6b44b2401525650256b977063dbcf830f762369,0.89
845bb0154c4a8f7847f5502297c8ed249714c18e,2025-11-09,zlsplitter,zlsplitter,zlsplitter: init at 0.2.0,f6b44b2401525650256b977063dbcf830f762369,1.89
97abff668dccb48de27d82961947062e257b3820,2025-11-09,zlcompressor,zlcompressor,zlcompressor: init at 0.2.1,f6b44b2401525650256b977063dbcf830f762369,1.90
77aa2ebe23f31354782cc6cfdd3facb8a6dde793,2025-11-09,zlequalizer,zlequalizer,zlequalizer: init at 1.0.0,f6b44b2401525650256b977063dbcf830f762369,4.04
26e8367950484dda0537b1855b5acbf2b600b7b6,2025-11-11,zzz,zzz,zzz: init at 0.2.0,7241bcbb4f099a66aafca120d37c65e8dda32717,1.47
6badb0af390695d5526ca5574d1fd1c83c3e895b,2025-11-12,xleak,xleak,xleak: init at 0.1.0,f6b44b2401525650256b977063dbcf830f762369,1.30
1346c490888ba372371d001541009a3bdf632527,2025-10-01,unified-memory-framework,unified-memory-framework,unified-memory-framework: init at 1.0.3,2dad7af78a183b6c486702c18af8a9544f298377,1.25
9595f50ed7005ad80fa83c8fb332f4868e139659,2025-09-17,azure-mgmt-hybridcompute,python3Packages.azure-mgmt-hybridcompute,python3Packages.azure-mgmt-hybridcompute: init at 9.1.0b2,91c9a64ce2a84e648d0cf9671274bb9c2fb9ba60,7.66
c1849365d4ad7a2013b87f73040c3792f2d2137a,2025-09-17,azure-mgmt-dashboard,python3Packages.azure-mgmt-dashboard,python3Packages.azure-mgmt-dashboard: init at 1.1.0,91c9a64ce2a84e648d0cf9671274bb9c2fb9ba60,3.19
c57b53cc5857139f801e827a323d0d655d2a84e8,2025-11-12,torchdata,python3Packages.torchdata,python3Packages.torchdata: init at 0.11.0,91c9a64ce2a84e648d0cf9671274bb9c2fb9ba60,3.65
dd84201d6e44c19197357452f58f7603ee677a91,2025-11-12,in-toto-attestation,python3Packages.in-toto-attestation,python3Packages.in-toto-attestation: init at 0.9.3,91c9a64ce2a84e648d0cf9671274bb9c2fb9ba60,1.09
d263b03d7e6b5900bfce1bc41a2117190fb4bf2b,2025-10-11,nebula-lighthouse-service,nebula-lighthouse-service,nebula-lighthouse-service: init at v2.0.0,f6b44b2401525650256b977063dbcf830f762369,3.21
a38994a0b1f70cd2f507ccab1a45de1f3161e11a,2025-11-11,tzpfms,tzpfms,tzpfms: init at 0.4.1,f6b44b2401525650256b977063dbcf830f762369,3.54
d3e6a340d967260efae964e95b2f36cbfb9dd5e2,2025-11-11,qbootctl,qbootctl,qbootctl: init at 0.2.2,f6b44b2401525650256b977063dbcf830f762369,3.73
9e687756127c607992461d76afbcc295685263b2,2025-11-09,ssh-vault,ssh-vault,ssh-vault: init at 1.1.4,f6b44b2401525650256b977063dbcf830f762369,1.21
58cf99cf02fe1669be0eb6769ae8032f6b502a1e,2025-11-09,vmas,python3Packages.vmas,python3Packages.vmas: init at 1.5.2,f6b44b2401525650256b977063dbcf830f762369,7.87
