commit_hash,package_name,pname,version,fetcher_type,fetcher_content,package_file
70f8fa6e126842d93425e7828fda35cff28463eb,drawy,drawy,1.0.0-alpha-unstable-2025-11-17,fetchFromGitHub,"fetchFromGitHub {
    owner = ""Prayag2"";
    repo = ""drawy"";
    rev = ""ca02b66a9615c45c78f2e29839a40c1e5bf8f71c"";
    hash = ""sha256-PzIeyhF/1wKD6JyybNRzruuxzSKJZvIq+L7X0rrcQUY="";
  }",pkgs/by-name/dr/drawy/package.nix
9fd7bd516cc47d6bf857d4977d9b6d837a5b172b,ocb,ocb,0.2,fetchFromGitHub,"fetchFromGitHub {
    owner = ""ocamlpro"";
    repo = ""ocb"";
    tag = finalAttrs.version;
    hash = ""sha256-LbAeeaPsOGd1w0I5YFrgRyFKKwIkYjMaRo2G1JUEado="";
  }",pkgs/development/ocaml-modules/ocb/default.nix
5d3dca8f2eb235617820e2d4588c287a64453b59,ekey-bionyxpy,ekey-bionyxpy,1.0.0,fetchFromGitHub,"fetchFromGitHub {
    owner = ""richardpolzer"";
    repo = ""ekey-bionyx-api"";
    tag = version;
    hash = ""sha256-wKgIQp+E1fzOrp2Xx14RXvtxQMOb0rFkI55q2Rw+JNg="";
  }",pkgs/development/python-modules/ekey-bionyxpy/default.nix
9d5824e6a770a5846713226a8e84ab5fb5cf8997,hyprwire,hyprwire,0.1.0,fetchFromGitHub,"fetchFromGitHub {
    owner = ""hyprwm"";
    repo = ""hyprwire"";
    tag = ""v${finalAttrs.version}"";
    hash = ""sha256-84KqFPakU1Pv7axkwbSi1D5XssSHIW8B2xduOUq5Mw4="";
  }",pkgs/by-name/hy/hyprwire/package.nix
80323062f8e966ed6401a1e4deaeca85ab9a116d,hyprtoolkit,hyprtoolkit,0.1.0,fetchFromGitHub,"fetchFromGitHub {
    owner = ""hyprwm"";
    repo = ""hyprtoolkit"";
    tag = ""v${finalAttrs.version}"";
    hash = ""sha256-AQCTRH8VsrHzOHL0ueXt/6OQtSSfZbT3XUBI4sq8rx4="";
  }",pkgs/by-name/hy/hyprtoolkit/package.nix
bea5958c63ff1df0d34c7a804691299f7fcb181e,ptcpdump,ptcpdump,0.37.0,fetchFromGitHub,"fetchFromGitHub {
    owner = ""mozillazg"";
    repo = ""ptcpdump"";
    tag = ""v${finalAttr.version}"";
    hash = ""sha256-ouH7VFWSCOElbmbSWAkmM4dtNVp545mC/FnoNAFtaEw="";
  }",pkgs/by-name/pt/ptcpdump/package.nix
a5140ab27c95319aebaded41b1ebc7ed04530cda,elkoep-aio-mqtt,elkoep-aio-mqtt,0.1.0.beta.4,fetchFromGitHub,"fetchFromGitHub {
    owner = ""epdevlab"";
    repo = ""elkoep-aio-mqtt"";
    tag = ""0.1.0.beta.4"";
    hash = ""sha256-pQzM0wLLZk6cEizhDqLbVF4pMeyefgSUU0ay3CiGgAE="";
  }",pkgs/development/python-modules/elkoep-aio-mqtt/default.nix
9faec8f5cedbdec251314cd09d531f6820f4b519,pascube,pascube,1.5.1,fetchFromGitHub,"fetchFromGitHub {
    owner = ""benjamimgois"";
    repo = ""pascube"";
    tag = ""v${finalAttrs.version}"";
    hash = ""sha256-djkrMgX3RTTXSLISYpBfdyCIh3/WWODxd473M53iFKE="";
  }",pkgs/by-name/pa/pascube/package.nix
9988c02d49afbad15082a58129075a8c47e4ae67,types-webencodings,types-webencodings,0.5.0.20251108,fetchPypi,"fetchPypi {
    pname = ""types_webencodings"";
    inherit version;
    hash = ""sha256-I3jizszO09QbteITh1hue1MF4RUZ/GsGWcYp8jsuXeQ="";
  }",pkgs/development/python-modules/types-webencodings/default.nix
9ee6854ce0b42e9d050b447dac5eb7bf7bef2de8,chatlas,chatlas,0.13.2,fetchFromGitHub,"fetchFromGitHub {
    owner = ""posit-dev"";
    repo = ""chatlas"";
    tag = ""v${version}"";
    hash = ""sha256-uCgpNvDJZKwxX4HYF8tyvJ1AiQLmybuxrZkYK/u5xlg="";
  }",pkgs/development/python-modules/chatlas/default.nix
eb10ce12a24a5885051617a2243c8ea96c26b7b6,dataconf,dataconf,3.6.0,fetchPypi,"fetchPypi {
    inherit pname version;
    hash = ""sha256-hcZi8n290GZkgIM074Z1Ne2gOS5WDmX8fPR+BJGZyzU="";
  }",pkgs/development/python-modules/dataconf/default.nix
d2d197b954393044669872a031e8061f688b9a0d,pytest-gitconfig,pytest-gitconfig,0.8.0,fetchFromGitHub,"fetchFromGitHub {
    owner = ""noirbizarre"";
    repo = ""pytest-gitconfig"";
    tag = version;
    hash = ""sha256-5DfG74mEvsWHH2xPyG1mNcWp9/DgpveLbaSEOoRzD+g="";
  }",pkgs/development/python-modules/pytest-gitconfig/default.nix
899d61fe3171696d154b6abedae59ad13af7ec9a,uncompresspy,uncompresspy,0.4.1,fetchPypi,"fetchPypi {
    inherit pname version;
    hash = ""sha256-556tZurtjUI2TYB8C6PzqK7w4Ah6m+rxpg8jqAimwUc="";
  }",pkgs/development/python-modules/uncompresspy/default.nix
63c81066c92412a7faad0a95ec3097a844387b8c,pycrdt-store,pycrdt-store,0.1.3b1,fetchFromGitHub,"fetchFromGitHub {
    owner = ""y-crdt"";
    repo = ""pycrdt-store"";
    tag = version;
    hash = ""sha256-UMLR30PqtPUlD6z7VTPl7ZkSSw4HkmO5bUa/lSeFFoE="";
  }",pkgs/development/python-modules/pycrdt-store/default.nix
