commit_hash,package_name,fully_qualified_name,pname,version,fetcher,nixpkgs_target_bump,exclusion_reason
70f8fa6e126842d93425e7828fda35cff28463eb,drawy,drawy,drawy,1.0.0-alpha-unstable-2025-11-17,"fetchFromGitHub {
    owner = ""Prayag2"";
    repo = ""drawy"";
    rev = ""ca02b66a9615c45c78f2e29839a40c1e5bf8f71c"";
    hash = ""sha256-PzIeyhF/1wKD6JyybNRzruuxzSKJZvIq+L7X0rrcQUY="";
  }",6f374686605df381de8541c072038472a5ea2e2d,contains_nix_code
9d5824e6a770a5846713226a8e84ab5fb5cf8997,hyprwire,hyprwire,hyprwire,0.1.0,"fetchFromGitHub {
    owner = ""hyprwm"";
    repo = ""hyprwire"";
    tag = ""v${finalAttrs.version}"";
    hash = ""sha256-84KqFPakU1Pv7axkwbSi1D5XssSHIW8B2xduOUq5Mw4="";
  }",8b6600824693a9c706ef09bd86711ca393703466,contains_nix_code
80323062f8e966ed6401a1e4deaeca85ab9a116d,hyprtoolkit,hyprtoolkit,hyprtoolkit,0.1.0,"fetchFromGitHub {
    owner = ""hyprwm"";
    repo = ""hyprtoolkit"";
    tag = ""v${finalAttrs.version}"";
    hash = ""sha256-AQCTRH8VsrHzOHL0ueXt/6OQtSSfZbT3XUBI4sq8rx4="";
  }",8b6600824693a9c706ef09bd86711ca393703466,contains_nix_code
bea5958c63ff1df0d34c7a804691299f7fcb181e,ptcpdump,ptcpdump,ptcpdump,0.37.0,"fetchFromGitHub {
    owner = ""mozillazg"";
    repo = ""ptcpdump"";
    tag = ""v${finalAttr.version}"";
    hash = ""sha256-ouH7VFWSCOElbmbSWAkmM4dtNVp545mC/FnoNAFtaEw="";
  }",8b6600824693a9c706ef09bd86711ca393703466,finalAttr typo (should be finalAttrs)
5fc0dd04b662fa951ca05160e01b1ea0ae07aaef,mangowc,mangowc,mangowc,0.10.5,"fetchFromGitHub {
    owner = ""DreamMaoMao"";
    repo = ""mangowc"";
    tag = finalAttrs.version;
    hash = ""sha256-ZESyUtCiIQh6R0VYAo8YaP95Damw3MJVvKy5qU3pgTA="";
  }",91c9a64ce2a84e648d0cf9671274bb9c2fb9ba60,contains_nix_code
6badb0af390695d5526ca5574d1fd1c83c3e895b,xleak,xleak,xleak,0.1.0,"fetchFromGitHub {
    owner = ""bgreenwell"";
    repo = ""xleak"";
    tag = ""v${finalAttrs.version}"";
    hash = ""sha256-n9AFNGr5kRbQr2P/6QFT0KkuiE6KPun1FZjwrq2iQZs="";
  }",f6b44b2401525650256b977063dbcf830f762369,contains_nix_code
a38994a0b1f70cd2f507ccab1a45de1f3161e11a,tzpfms,tzpfms,tzpfms,0.4.1,"fetchFromSourcehut {
    owner = ""~nabijaczleweli"";
    repo = ""tzpfms"";
    rev = ""v${finalPackage.version}"";
    hash = ""sha256-DHmJpfURyFPeOWxIkfwn4f0n2WeDYErevC1gY2oM3Vg="";
  }",f6b44b2401525650256b977063dbcf830f762369,finalAttr typo (should be finalAttrs)
5efbfb6b02107937765cc264c6494e9a22499d85,cocoon,cocoon,cocoon,0.5.0,"fetchFromGitHub {
    owner = ""haileyok"";
    repo = ""cocoon"";
    tag = finalAttrs.version;
    hash = ""sha256-9gJj+edTGkQsHH72F2f7A6EWDet+k38+8UZ1KN2UGT0="";
  }",f1e8ae508a9a467a9f51d29b8639e96db2b52c30,contains_nix_code
2c40a3091b1e2c1ceae3396142ea68274675691b,mtkclient,mtkclient,mtkclient,2.0.1-unstable-2025-09-26,"fetchFromGitHub {
    owner = ""bkerler"";
    repo = ""mtkclient"";
    rev = ""399b3a1c25e73ddf4951f12efd20f7254ee04a39"";
    hash = ""sha256-XNPYeVhp5P+zQdumS9IzlUd5+WebL56qcgs10WS2/LY="";
  }",45ebaee5d90bab997812235564af4cf5107bde89,contains_nix_code
25a6f9bfc3b9cb60312b545490f4059ebfc6947d,tomat,tomat,tomat,2.3.0,"fetchFromGitHub {
    owner = ""jolars"";
    repo = ""tomat"";
    tag = ""v${version}"";
    hash = ""sha256-lkNBcTn7uXWifIVNoXmggPy+UjozL5YqVYorH9XAejo="";
  }",a7fc11be66bdfb5cdde611ee5ce381c183da8386,contains_nix_code
